timestamp,region,latitude,longitude,PSI,PM10,PM25,O3,NO2,CO,SO2
2024-04-22 15:06:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:06:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:06:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:06:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:06:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:11:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:11:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:11:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:11:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:11:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:12:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:12:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:12:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:12:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:12:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:16:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:16:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:16:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:16:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:16:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:21:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:21:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:21:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:21:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:21:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:22:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:22:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:22:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:22:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:22:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:26:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:26:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:26:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:26:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:26:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:31:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:31:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:31:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:31:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:31:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:32:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:32:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:32:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:32:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:32:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:36:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:36:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:36:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:36:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:36:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:41:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:41:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:41:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:41:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:41:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:42:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:42:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:42:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:42:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:42:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:46:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:46:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:46:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:46:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:46:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:51:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:51:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:51:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:51:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:51:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:52:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:52:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:52:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:52:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:52:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:53:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:53:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:53:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:53:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:53:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 15:56:00,west,1.35735,103.7,57,40,18,26,70,1,5
2024-04-22 15:56:00,east,1.35735,103.94,63,35,22,50,40,0,3
2024-04-22 15:56:00,central,1.35735,103.82,55,28,15,58,58,0,3
2024-04-22 15:56:00,south,1.29587,103.82,54,26,15,32,21,0,3
2024-04-22 15:56:00,north,1.41803,103.82,60,35,20,46,43,1,3
2024-04-22 16:01:00,west,1.35735,103.7,57,39,18,24,66,1,5
2024-04-22 16:01:00,east,1.35735,103.94,62,35,22,51,33,0,3
2024-04-22 16:01:00,central,1.35735,103.82,55,28,16,53,48,0,3
2024-04-22 16:01:00,south,1.29587,103.82,54,26,15,29,22,0,3
2024-04-22 16:01:00,north,1.41803,103.82,59,35,19,41,56,1,3
2024-04-22 16:02:00,west,1.35735,103.7,57,39,18,24,66,1,5
